label,sharpe,fitness,turnover,returns,drawdown,margin,checks_passed,settings,link,expression,alpha_id
VWAP反转,1.9,0.74,0.7422,0.1141,0.0479,0.000307,5/8,"{""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.01}",https://platform.worldquantbrain.com/alpha/d5lG8PRx,"group_zscore(ts_zscore(vwap/close, 250), subindustry)",d5lG8PRx
短期反转,0.93,0.34,0.6978,0.0907,0.1468,0.00026,4/8,"{""decay"": 3, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/VkYWwrV5,"-ts_delta(close, 2)",VkYWwrV5
均值回归5日,1.27,0.66,0.4409,0.1203,0.1072,0.000546,5/8,"{""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/rKrxEv99,"-(close - ts_mean(close, 5))",rKrxEv99
K线反转,1.87,0.72,0.9303,0.1381,0.0647,0.000297,5/9,"{""decay"": 3, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/mLxvJZ39,"group_zscore(-(close - open) / (high - low + 0.001), subindustry)",mLxvJZ39
量价背离,1.12,0.62,0.1898,0.0577,0.1135,0.000608,5/8,"{""decay"": 3, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.1}",https://platform.worldquantbrain.com/alpha/2rnYQAZN,"-ts_corr(ts_rank(volume, 10), ts_rank(vwap, 10), 20)",2rnYQAZN
成交量异常,-0.22,-0.05,0.3921,-0.0236,0.3366,-0.00012,5/8,"{""decay"": 5, ""neutralization"": ""MARKET"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/ZYWJqgaQ,"group_neutralize(volume/(ts_sum(volume,60)/60), sector)",ZYWJqgaQ
回归残差反转,0.74,0.21,1.4145,0.1133,0.2552,0.00016,3/8,"{""decay"": 0, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/kqLAXxL8,"-ts_regression(returns, ts_delay(returns,1), 252)",kqLAXxL8
波动率条件回归,1.04,0.49,0.447,0.1006,0.0828,0.00045,5/8,"{""decay"": 3, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.01}",https://platform.worldquantbrain.com/alpha/3qnNx61Z,"when = ts_rank(ts_std_dev(returns, 22), 252) > 0.55; trade_when(when, -ts_regression(returns, ts_delay(returns,1), 252), -1)",3qnNx61Z
ROE排名,1.23,0.89,0.0737,0.0656,0.0731,0.001779,5/9,"{""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.01}",https://platform.worldquantbrain.com/alpha/QP58jaZX,"ts_rank(operating_income/cap, 252)",QP58jaZX
EV/EBITDA反转,1.03,0.74,0.1416,0.0722,0.1005,0.001019,5/10,"{""decay"": 5, ""neutralization"": ""INDUSTRY"", ""truncation"": 0.01}",https://platform.worldquantbrain.com/alpha/KPw16QPk,"-ts_zscore(enterprise_value / ebitda, 63)",KPw16QPk
留存收益变化,0.37,0.17,0.0652,0.0265,0.1874,0.000813,4/9,"{""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.01}",https://platform.worldquantbrain.com/alpha/KPw16prE,"rank(ts_delta(retained_earnings / sharesout, 90))",KPw16prE
动量+量确认,1.44,0.54,0.6212,0.0869,0.0612,0.00028,6/8,"{""decay"": 3, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/qMmRdQpj,"(ts_mean(volume,20) < volume) ? (-1 * ts_rank(abs(ts_delta(close, 7)), 60) * sign(ts_delta(close, 7))) : -1",qMmRdQpj
多因子收益量,1.21,0.71,0.368,0.1279,0.1048,0.000695,5/8,"{""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/XgY0lL0z,"rank(scale(ts_sum(-returns, 5)) + scale(ts_decay_linear(volume/(ts_sum(volume,20)/20), 5)))",XgY0lL0z
布林带,1.32,1.15,0.1172,0.0943,0.0806,0.001609,7/12,"{""decay"": 3, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/E5rdaQ0r,"avg = (high + low + close + open) / 4; ma = ts_mean(avg, 20); bolu = ma + ts_std_dev(avg, 20); bold = ma - ts_std_dev(avg, 20); signal = ts_sum(close < bold, 20) - ts_sum(close > bolu, 20); ts_zscore(signal, 240)",E5rdaQ0r
协方差策略,-0.02,-0.0,0.2147,-0.0008,0.103,-8e-06,4/8,"{""decay"": 5, ""neutralization"": ""SUBINDUSTRY"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/WjW5Xzad,"rank(ts_covariance(ts_std_dev(-returns, 22), (vwap - close), 22))",WjW5Xzad
衰减中性化,-0.16,-0.04,0.2345,-0.0183,0.3526,-0.000156,4/8,"{""decay"": 3, ""neutralization"": ""MARKET"", ""truncation"": 0.08}",https://platform.worldquantbrain.com/alpha/Jj59XkLx,"group_neutralize(ts_decay_linear(ts_delta(close, 5), 10), subindustry)",Jj59XkLx
