label,alpha_id,sharpe,fitness,turnover,returns,drawdown,margin,checks_passed,checks_pending,checks_total,submittable,decay,neutralization,truncation,universe,link,expression
基线,58abo9Jo,1.55,1.28,0.0178,0.0849,0.061,0.009533,7,1,8,True,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/58abo9Jo,-rank(equity/assets)
zscore替换rank,qMP1oAzA,1.41,1.16,0.0209,0.0841,0.071,0.008041,7,1,8,True,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/qMP1oAzA,-zscore(equity/assets)
group_zscore,JjgwZNjn,1.46,1.09,0.0198,0.0691,0.0547,0.006965,7,1,8,True,0,MARKET,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/JjgwZNjn,"-group_zscore(equity/assets, subindustry)"
group_rank,P0wWdzg7,1.1,0.65,0.0195,0.043,0.0502,0.00442,5,1,8,False,0,MARKET,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/P0wWdzg7,"-group_rank(equity/assets, subindustry)"
ts_zscore,Xg2r5dJX,0.02,0.0,0.0609,0.0007,0.0956,2.3e-05,5,1,8,False,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/Xg2r5dJX,"-ts_zscore(equity/assets, 252)"
ts_rank,xAP6gwmp,0.11,0.02,0.0373,0.0041,0.1037,0.000219,4,1,8,False,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/xAP6gwmp,"-ts_rank(equity/assets, 252)"
equity/cap,xAP6g16w,-0.52,-0.31,0.0368,-0.0452,0.3593,-0.002454,4,1,8,False,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/xAP6g16w,-rank(equity/cap)
equity/revenue,xAP6g5Em,1.34,1.05,0.0201,0.0773,0.0552,0.007714,7,1,8,True,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/xAP6g5Em,-rank(equity/revenue)
ts_delta变化,1Ya95LpK,-0.18,-0.04,0.0618,-0.0066,0.1748,-0.000214,5,1,8,False,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/1Ya95LpK,"-rank(ts_delta(equity/assets, 63))"
ts_rank+ratio,LLgjxEYM,-0.16,-0.03,0.0506,-0.0053,0.1365,-0.000211,4,1,8,False,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/LLgjxEYM,"-ts_rank(equity/assets, 126)"
ts_av_diff,xAP6a7eN,0.54,0.23,0.0312,0.0226,0.071,0.001452,4,1,8,False,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/xAP6a7eN,"-rank(ts_av_diff(equity/assets, 252))"
neut=INDUSTRY,kq17Rrvl,1.52,1.34,0.0157,0.0966,0.0557,0.012299,7,1,8,True,0,INDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/kq17Rrvl,-rank(equity/assets)
neut=MARKET,MPKWwlkM,0.72,0.6,0.0107,0.088,0.1448,0.016386,5,1,8,False,0,MARKET,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/MPKWwlkM,-rank(equity/assets)
group_zscore+ts,RR23Xrbg,0.08,0.01,0.0368,0.0028,0.1019,0.000153,4,1,8,False,0,MARKET,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/RR23Xrbg,"-group_zscore(ts_rank(equity/assets, 252), subindustry)"
zscore+decay5,LLgje9pm,1.4,1.14,0.0197,0.0832,0.0669,0.008442,7,1,8,True,5,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/LLgje9pm,-zscore(equity/assets)
ts_rank+group_rank,Xg2rqVa8,-0.9,-0.43,0.0569,-0.0289,0.2022,-0.001017,4,1,8,False,0,MARKET,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/Xg2rqVa8,"-group_rank(ts_rank(equity/assets, 126), subindustry)"
equity/assets*价格,88aoAZOz,2.52,1.03,1.0424,0.1739,0.0425,0.000334,6,1,8,False,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/88aoAZOz,-rank(equity/assets) * rank(close/open)
ratio+动量,A1gWqMOW,-0.75,-0.25,0.4678,-0.0512,0.2796,-0.000219,4,1,8,False,0,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/A1gWqMOW,"-rank(equity/assets) * rank(-ts_delta(close, 5))"
